URL,Size in Bytes,# of outlinks found,Content-Type
https://www.nytimes.com/interactive/2020/09/25/briefing/news-quiz-ruth-bader-ginsburg-breonna-taylor-cdc.html,460782 Byte,43,text/html
https://www.nytimes.com/2020/09/25/world/europe/paris-knife-attack.html,313774 Byte,46,text/html
https://www.nytimes.com/by/mitch-smith,663413 Byte,52,text/html
https://www.nytimes.com/by/dwight-garner,260081 Byte,52,text/html
https://www.nytimes.com/news-event/coronavirus?name=styln-coronavirus-national&region=TOP_BANNER&block=storyline_menu_recirc&action=click&pgtype=Article&impression_id=f86ea5f0-0065-11eb-9c61-273648beb234&variant=undefined,828254 Byte,155,text/html
https://www.nytimes.com/2020/09/26/us/black-appalachia-ron-jill-carson.html,376879 Byte,45,text/html
https://www.nytimes.com/section/food,843406 Byte,92,text/html
https://www.nytimes.com/2020/09/25/sports/baseball/matt-blake-yankees.html,307407 Byte,43,text/html
https://www.nytimes.com/interactive/2020/09/25/books/book-editor-reading.html,149299 Byte,49,text/html
https://www.nytimes.com/interactive/2020/04/23/upshot/five-ways-to-monitor-coronavirus-outbreak-us.html,328181 Byte,129,text/html
https://www.nytimes.com/by/michelle-cottle,267986 Byte,52,text/html
https://www.nytimes.com/news-event/coronavirus?name=styln-coronavirus-national&region=TOP_BANNER&block=storyline_menu_recirc&action=click&pgtype=Interactive&impression_id=1f77ef30-0066-11eb-8afa-df5484f856a8&variant=undefined,828254 Byte,155,text/html
https://www.nytimes.com/newsletters/coronavirus-schools-briefing,63978 Byte,30,text/html
https://www.nytimes.com/2020/09/25/us/portland-proud-boys-antifa-protests.html,320175 Byte,47,text/html
https://www.nytimes.com/2020/09/25/world/asia/afghanistan-woman-university.html,294985 Byte,43,text/html
https://www.nytimes.com/interactive/2020/us/colorado-coronavirus-cases.html,312913 Byte,173,text/html
https://www.nytimes.com/2020/09/19/books/penguin-random-house-madeline-mcintosh.html,480987 Byte,59,text/html
https://www.nytimes.com/2020/09/26/style/selling-things-online-sex-work.html,395604 Byte,57,text/html
https://www.nytimes.com/by/kai-schultz,471838 Byte,54,text/html
https://www.nytimes.com/2020/09/20/us/senate-election-supreme-court.html,262419 Byte,43,text/html
https://www.nytimes.com/2020/09/26/us/portland-proud-boys-protests.html,316713 Byte,52,text/html
https://www.nytimes.com/interactive/2020/08/12/us/covid-deaths-us.html,188367 Byte,133,text/html
https://www.nytimes.com/2020/09/25/world/asia/trump-united-states.html,495241 Byte,61,text/html
https://www.nytimes.com/interactive/2020/us/pennsylvania-coronavirus-cases.html,313184 Byte,173,text/html
https://www.nytimes.com/column/books-of-the-times,307082 Byte,52,text/html
https://www.nytimes.com/2020/09/21/upshot/americans-mostly-agree-on-policing-the-difference-is-priorities.html,426097 Byte,68,text/html
https://www.nytimes.com/video/us/politics/100000007363083/trump-barrett-supreme-court.html,1048576 Byte,100,text/html
https://www.nytimes.com/interactive/2020/us/new-jersey-coronavirus-cases.html,313782 Byte,173,text/html
https://www.nytimes.com/column/childrens-books,378950 Byte,65,text/html
https://www.nytimes.com/2020/09/19/us/politics/martha-mcsally-mark-kelly-arizona.html,369080 Byte,57,text/html
https://www.nytimes.com/by/allison-mccann,715733 Byte,51,text/html
https://www.nytimes.com/2020/09/25/us/politics/trump-border-wall-lawsuit.html,284993 Byte,46,text/html
https://www.nytimes.com/by/matthew-bloch,311932 Byte,51,text/html
https://www.nytimes.com/2020/09/26/at-home/how-to-get-focused.html,314252 Byte,54,text/html
https://www.nytimes.com/section/style,1048576 Byte,171,text/html
https://www.nytimes.com/2020/05/27/opinion/republicans-trump.html,287138 Byte,56,text/html
https://www.nytimes.com/2020/09/21/books/review-jack-marilynne-robinson.html,281051 Byte,47,text/html
https://www.nytimes.com/2020/09/25/sports/basketball/jamal-murray-lakers-nuggets.html,280434 Byte,44,text/html
https://www.nytimes.com/interactive/2020/us/massachusetts-coronavirus-cases.html,314859 Byte,174,text/html
https://www.nytimes.com/2020/09/26/us/politics/texas-voting.html,329005 Byte,57,text/html
https://www.nytimes.com/2020/09/25/opinion/sunday/trump-election-supreme-court.html,454316 Byte,46,text/html
https://www.nytimes.com/interactive/2020/us/connecticut-coronavirus-cases.html,311869 Byte,172,text/html
https://www.nytimes.com/column/bookends,214744 Byte,53,text/html
https://www.nytimes.com/2020/09/18/us/elections/the-winner-of-the-arizona-senate-race-could-be-seated-in-time-for-a-vote-on-a-supreme-court-pick.html,197647 Byte,43,text/html
https://www.nytimes.com/interactive/2020/us/michigan-coronavirus-cases.html,314656 Byte,173,text/html
https://www.nytimes.com/2020/09/25/world/europe/giant-rat-magawa-medal.html,250422 Byte,43,text/html
https://www.nytimes.com/2020/09/26/us/politics/the-judiciary-committee-will-hold-hearings-starting-oct-12-here-is-whats-next.html,220921 Byte,45,text/html
https://www.nytimes.com/privacy/cookie-policy,85574 Byte,39,text/html
https://www.nytimes.com/interactive/2020/01/08/books/new-books-international.html,464204 Byte,265,text/html
https://www.nytimes.com/2020/06/02/health/coronavirus-profile-covid.html,586785 Byte,86,text/html
